date,state,fips,cases,deaths,new_cases
2020-03-13,Alabama,1,6,0,0.0
2020-03-14,Alabama,1,12,0,6.0
2020-03-15,Alabama,1,23,0,11.0
2020-03-16,Alabama,1,29,0,6.0
2020-03-17,Alabama,1,39,0,10.0
2020-03-18,Alabama,1,51,0,12.0
2020-03-19,Alabama,1,78,0,27.0
2020-03-20,Alabama,1,106,0,28.0
2020-03-21,Alabama,1,131,0,25.0
2020-03-22,Alabama,1,157,0,26.0
2020-03-23,Alabama,1,196,0,39.0
2020-03-24,Alabama,1,242,0,46.0
2020-03-25,Alabama,1,386,1,144.0
2020-03-26,Alabama,1,538,3,152.0
2020-03-27,Alabama,1,639,4,101.0
2020-03-28,Alabama,1,720,4,81.0
2020-03-29,Alabama,1,830,5,110.0
2020-03-30,Alabama,1,947,11,117.0
2020-03-31,Alabama,1,999,14,52.0
2020-04-01,Alabama,1,1108,28,109.0
2020-04-02,Alabama,1,1270,32,162.0
2020-04-03,Alabama,1,1535,38,265.0
2020-04-04,Alabama,1,1632,44,97.0
2020-04-05,Alabama,1,1840,45,208.0
2020-04-06,Alabama,1,2005,53,165.0
2020-04-07,Alabama,1,2197,64,192.0
2020-04-08,Alabama,1,2498,67,301.0
2020-04-09,Alabama,1,2838,78,340.0
2020-04-10,Alabama,1,3008,80,170.0
2020-04-11,Alabama,1,3262,93,254.0
2020-04-12,Alabama,1,3583,93,321.0
2020-04-13,Alabama,1,3805,104,222.0
2020-04-14,Alabama,1,3953,114,148.0
2020-04-15,Alabama,1,4241,123,288.0
2020-04-16,Alabama,1,4404,137,163.0
2020-04-17,Alabama,1,4572,151,168.0
2020-04-18,Alabama,1,4723,147,151.0
2020-04-19,Alabama,1,4903,160,180.0
2020-04-20,Alabama,1,5078,164,175.0
2020-04-21,Alabama,1,5327,186,249.0
2020-04-22,Alabama,1,5610,201,283.0
2020-04-23,Alabama,1,5832,197,222.0
2020-04-24,Alabama,1,6026,209,194.0
2020-04-25,Alabama,1,6213,213,187.0
2020-04-26,Alabama,1,6421,219,208.0
2020-04-27,Alabama,1,6539,228,118.0
2020-04-28,Alabama,1,6750,242,211.0
2020-04-29,Alabama,1,6925,262,175.0
2020-04-30,Alabama,1,7068,272,143.0
2020-05-01,Alabama,1,7294,289,226.0
2020-05-02,Alabama,1,7611,288,317.0
2020-05-03,Alabama,1,7888,290,277.0
2020-05-04,Alabama,1,8112,298,224.0
2020-05-05,Alabama,1,8437,315,325.0
2020-05-06,Alabama,1,8691,343,254.0
2020-05-07,Alabama,1,9046,369,355.0
2020-05-08,Alabama,1,9385,383,339.0
2020-05-09,Alabama,1,9668,390,283.0
2020-05-10,Alabama,1,9889,393,221.0
2020-05-11,Alabama,1,10164,403,275.0
2020-05-12,Alabama,1,10464,435,300.0
2020-05-13,Alabama,1,10700,450,236.0
2020-05-14,Alabama,1,11101,473,401.0
2020-05-15,Alabama,1,11373,483,272.0
2020-05-16,Alabama,1,11674,485,301.0
2020-05-17,Alabama,1,11771,488,97.0
2020-05-18,Alabama,1,12086,489,315.0
2020-05-19,Alabama,1,12376,504,290.0
2020-05-20,Alabama,1,13052,522,676.0
2020-05-21,Alabama,1,13414,529,362.0
2020-05-22,Alabama,1,13670,541,256.0
2020-05-23,Alabama,1,14149,549,479.0
2020-05-24,Alabama,1,14478,551,329.0
2020-05-25,Alabama,1,14986,566,508.0
2020-05-26,Alabama,1,15650,580,664.0
2020-05-27,Alabama,1,16032,583,382.0
2020-05-28,Alabama,1,16530,591,498.0
2020-05-29,Alabama,1,17031,610,501.0
2020-05-30,Alabama,1,17359,618,328.0
2020-05-31,Alabama,1,17952,630,593.0
2020-06-01,Alabama,1,18534,646,582.0
2020-06-02,Alabama,1,18771,653,237.0
2020-06-03,Alabama,1,18851,653,80.0
2020-06-04,Alabama,1,19072,653,221.0
2020-06-05,Alabama,1,19387,676,315.0
2020-06-06,Alabama,1,20043,689,656.0
2020-06-07,Alabama,1,20500,692,457.0
2020-06-08,Alabama,1,20925,718,425.0
2020-06-09,Alabama,1,21422,729,497.0
2020-06-10,Alabama,1,21989,744,567.0
2020-06-11,Alabama,1,22845,755,856.0
2020-06-12,Alabama,1,23710,769,865.0
2020-06-13,Alabama,1,24601,773,891.0
2020-06-14,Alabama,1,25615,773,1014.0
2020-06-15,Alabama,1,26272,774,657.0
2020-06-16,Alabama,1,26912,785,640.0
2020-06-17,Alabama,1,27312,790,400.0
2020-06-18,Alabama,1,28206,810,894.0
2020-06-19,Alabama,1,29002,822,796.0
2020-06-20,Alabama,1,29549,838,547.0
2020-06-21,Alabama,1,30021,839,472.0
2020-06-22,Alabama,1,30454,841,433.0
2020-06-23,Alabama,1,31097,864,643.0
2020-06-24,Alabama,1,32064,891,967.0
2020-06-25,Alabama,1,33206,896,1142.0
2020-06-26,Alabama,1,34183,907,977.0
2020-06-27,Alabama,1,35083,919,900.0
2020-06-28,Alabama,1,35441,919,358.0
2020-06-29,Alabama,1,37175,929,1734.0
2020-06-30,Alabama,1,38045,950,870.0
2020-07-01,Alabama,1,38962,972,917.0
2020-07-02,Alabama,1,40111,985,1149.0
2020-07-03,Alabama,1,41865,1006,1754.0
2020-07-04,Alabama,1,42862,1007,997.0
2020-07-05,Alabama,1,43953,1007,1091.0
2020-07-06,Alabama,1,44878,1007,925.0
2020-07-07,Alabama,1,45785,1033,907.0
2020-07-08,Alabama,1,46962,1058,1177.0
2020-07-09,Alabama,1,49174,1068,2212.0
2020-07-10,Alabama,1,50508,1104,1334.0
2020-07-11,Alabama,1,51947,1114,1439.0
2020-07-12,Alabama,1,53587,1121,1640.0
2020-07-13,Alabama,1,55545,1124,1958.0
2020-07-14,Alabama,1,57255,1164,1710.0
2020-07-15,Alabama,1,59067,1211,1812.0
2020-07-16,Alabama,1,61088,1230,2021.0
2020-07-17,Alabama,1,63091,1265,2003.0
2020-07-18,Alabama,1,65234,1286,2143.0
2020-07-19,Alabama,1,67011,1287,1777.0
2020-07-20,Alabama,1,68891,1291,1880.0
2020-07-21,Alabama,1,70358,1303,1467.0
2020-07-22,Alabama,1,71813,1364,1455.0
2020-07-23,Alabama,1,74212,1397,2399.0
2020-07-24,Alabama,1,76005,1438,1793.0
2020-07-25,Alabama,1,78130,1456,2125.0
2020-07-26,Alabama,1,79294,1473,1164.0
2020-03-12,Alaska,2,1,0,0.0
2020-03-13,Alaska,2,1,0,0.0
2020-03-14,Alaska,2,1,0,0.0
2020-03-15,Alaska,2,1,0,0.0
2020-03-16,Alaska,2,3,0,2.0
2020-03-17,Alaska,2,6,0,3.0
2020-03-18,Alaska,2,9,0,3.0
2020-03-19,Alaska,2,12,0,3.0
2020-03-20,Alaska,2,14,0,2.0
2020-03-21,Alaska,2,21,0,7.0
2020-03-22,Alaska,2,22,0,1.0
2020-03-23,Alaska,2,36,0,14.0
2020-03-24,Alaska,2,42,0,6.0
2020-03-25,Alaska,2,59,0,17.0
2020-03-26,Alaska,2,69,0,10.0
2020-03-27,Alaska,2,85,1,16.0
2020-03-28,Alaska,2,102,1,17.0
2020-03-29,Alaska,2,114,2,12.0
2020-03-30,Alaska,2,120,2,6.0
2020-03-31,Alaska,2,133,2,13.0
2020-04-01,Alaska,2,143,2,10.0
2020-04-02,Alaska,2,146,2,3.0
2020-04-03,Alaska,2,156,2,10.0
2020-04-04,Alaska,2,169,3,13.0
2020-04-05,Alaska,2,183,4,14.0
2020-04-06,Alaska,2,189,4,6.0
2020-04-07,Alaska,2,211,4,22.0
2020-04-08,Alaska,2,224,5,13.0
2020-04-09,Alaska,2,233,5,9.0
2020-04-10,Alaska,2,244,5,11.0
2020-04-11,Alaska,2,255,6,11.0
2020-04-12,Alaska,2,270,6,15.0
2020-04-13,Alaska,2,275,6,5.0
2020-04-14,Alaska,2,283,7,8.0
2020-04-15,Alaska,2,291,7,8.0
2020-04-16,Alaska,2,298,7,7.0
2020-04-17,Alaska,2,307,7,9.0
2020-04-18,Alaska,2,312,7,5.0
2020-04-19,Alaska,2,317,7,5.0
2020-04-20,Alaska,2,319,7,2.0
2020-04-21,Alaska,2,327,7,8.0
2020-04-22,Alaska,2,333,7,6.0
2020-04-23,Alaska,2,335,7,2.0
2020-04-24,Alaska,2,337,7,2.0
2020-04-25,Alaska,2,337,7,0.0
2020-04-26,Alaska,2,339,7,2.0
2020-04-27,Alaska,2,343,7,4.0
2020-04-28,Alaska,2,349,7,6.0
2020-04-29,Alaska,2,353,7,4.0
2020-04-30,Alaska,2,353,7,0.0
2020-05-01,Alaska,2,362,7,9.0
2020-05-02,Alaska,2,363,7,1.0
2020-05-03,Alaska,2,366,7,3.0
2020-05-04,Alaska,2,368,7,2.0
2020-05-05,Alaska,2,369,7,1.0
2020-05-06,Alaska,2,370,8,1.0
2020-05-07,Alaska,2,373,8,3.0
2020-05-08,Alaska,2,376,8,3.0
2020-05-09,Alaska,2,377,8,1.0
2020-05-10,Alaska,2,378,8,1.0
2020-05-11,Alaska,2,380,8,2.0
2020-05-12,Alaska,2,383,8,3.0
2020-05-13,Alaska,2,383,8,0.0
2020-05-14,Alaska,2,387,8,4.0
2020-05-15,Alaska,2,388,8,1.0
2020-05-16,Alaska,2,392,8,4.0
2020-05-17,Alaska,2,396,8,4.0
2020-05-18,Alaska,2,399,8,3.0
2020-05-19,Alaska,2,399,8,0.0
2020-05-20,Alaska,2,402,8,3.0
2020-05-21,Alaska,2,402,8,0.0
2020-05-22,Alaska,2,404,8,2.0
2020-05-23,Alaska,2,409,8,5.0
2020-05-24,Alaska,2,409,8,0.0
2020-05-25,Alaska,2,412,8,3.0
2020-05-26,Alaska,2,416,8,4.0
2020-05-27,Alaska,2,417,8,1.0
2020-05-28,Alaska,2,430,8,13.0
2020-05-29,Alaska,2,436,8,6.0
2020-05-30,Alaska,2,441,8,5.0
2020-05-31,Alaska,2,469,8,28.0
2020-06-01,Alaska,2,476,8,7.0
2020-06-02,Alaska,2,497,8,21.0
2020-06-03,Alaska,2,516,8,19.0
2020-06-04,Alaska,2,542,8,26.0
2020-06-05,Alaska,2,565,8,23.0
2020-06-06,Alaska,2,579,8,14.0
2020-06-07,Alaska,2,588,8,9.0
2020-06-08,Alaska,2,607,8,19.0
2020-06-09,Alaska,2,620,9,13.0
2020-06-10,Alaska,2,642,9,22.0
2020-06-11,Alaska,2,666,9,24.0
2020-06-12,Alaska,2,688,10,22.0
2020-06-13,Alaska,2,722,10,34.0
2020-06-14,Alaska,2,734,10,12.0
2020-06-15,Alaska,2,738,10,4.0
2020-06-16,Alaska,2,751,10,13.0
2020-06-17,Alaska,2,776,10,25.0
2020-06-18,Alaska,2,795,10,19.0
2020-06-19,Alaska,2,821,10,26.0
2020-06-20,Alaska,2,845,10,24.0
2020-06-21,Alaska,2,859,10,14.0
2020-06-22,Alaska,2,869,10,10.0
2020-06-23,Alaska,2,905,10,36.0
2020-06-24,Alaska,2,926,10,21.0
2020-06-25,Alaska,2,971,10,45.0
2020-06-26,Alaska,2,1001,12,30.0
2020-06-27,Alaska,2,1027,12,26.0
2020-06-28,Alaska,2,1060,12,33.0
2020-06-29,Alaska,2,1085,12,25.0
2020-06-30,Alaska,2,1132,12,47.0
2020-07-01,Alaska,2,1174,12,42.0
2020-07-02,Alaska,2,1224,12,50.0
2020-07-03,Alaska,2,1284,13,60.0
2020-07-04,Alaska,2,1339,14,55.0
2020-07-05,Alaska,2,1371,14,32.0
2020-07-06,Alaska,2,1401,14,30.0
2020-07-07,Alaska,2,1423,15,22.0
2020-07-08,Alaska,2,1472,15,49.0
2020-07-09,Alaska,2,1521,15,49.0
2020-07-10,Alaska,2,1579,15,58.0
2020-07-11,Alaska,2,1656,15,77.0
2020-07-12,Alaska,2,1772,15,116.0
2020-07-13,Alaska,2,1843,15,71.0
2020-07-14,Alaska,2,1897,15,54.0
2020-07-15,Alaska,2,1958,15,61.0
2020-07-16,Alaska,2,2034,15,76.0
2020-07-17,Alaska,2,2083,15,49.0
2020-07-18,Alaska,2,2157,16,74.0
2020-07-19,Alaska,2,2275,16,118.0
2020-07-20,Alaska,2,2412,16,137.0
2020-07-21,Alaska,2,2523,16,111.0
2020-07-22,Alaska,2,2617,17,94.0
2020-07-23,Alaska,2,2682,17,65.0
2020-07-24,Alaska,2,2746,17,64.0
2020-07-25,Alaska,2,2866,18,120.0
2020-07-26,Alaska,2,3100,18,234.0
2020-01-26,Arizona,4,1,0,0.0
2020-01-27,Arizona,4,1,0,0.0
2020-01-28,Arizona,4,1,0,0.0
2020-01-29,Arizona,4,1,0,0.0
2020-01-30,Arizona,4,1,0,0.0
2020-01-31,Arizona,4,1,0,0.0
2020-02-01,Arizona,4,1,0,0.0
2020-02-02,Arizona,4,1,0,0.0
2020-02-03,Arizona,4,1,0,0.0
2020-02-04,Arizona,4,1,0,0.0
2020-02-05,Arizona,4,1,0,0.0
2020-02-06,Arizona,4,1,0,0.0
2020-02-07,Arizona,4,1,0,0.0
2020-02-08,Arizona,4,1,0,0.0
2020-02-09,Arizona,4,1,0,0.0
2020-02-10,Arizona,4,1,0,0.0
2020-02-11,Arizona,4,1,0,0.0
2020-02-12,Arizona,4,1,0,0.0
2020-02-13,Arizona,4,1,0,0.0
2020-02-14,Arizona,4,1,0,0.0
2020-02-15,Arizona,4,1,0,0.0
2020-02-16,Arizona,4,1,0,0.0
2020-02-17,Arizona,4,1,0,0.0
2020-02-18,Arizona,4,1,0,0.0
2020-02-19,Arizona,4,1,0,0.0
2020-02-20,Arizona,4,1,0,0.0
2020-02-21,Arizona,4,1,0,0.0
2020-02-22,Arizona,4,1,0,0.0
2020-02-23,Arizona,4,1,0,0.0
2020-02-24,Arizona,4,1,0,0.0
2020-02-25,Arizona,4,1,0,0.0
2020-02-26,Arizona,4,1,0,0.0
2020-02-27,Arizona,4,1,0,0.0
2020-02-28,Arizona,4,1,0,0.0
2020-02-29,Arizona,4,1,0,0.0
2020-03-01,Arizona,4,1,0,0.0
2020-03-02,Arizona,4,1,0,0.0
2020-03-03,Arizona,4,2,0,1.0
2020-03-04,Arizona,4,2,0,0.0
2020-03-05,Arizona,4,2,0,0.0
2020-03-06,Arizona,4,3,0,1.0
2020-03-07,Arizona,4,5,0,2.0
2020-03-08,Arizona,4,5,0,0.0
2020-03-09,Arizona,4,6,0,1.0
2020-03-10,Arizona,4,6,0,0.0
2020-03-11,Arizona,4,9,0,3.0
2020-03-12,Arizona,4,9,0,0.0
2020-03-13,Arizona,4,9,0,0.0
2020-03-14,Arizona,4,12,0,3.0
2020-03-15,Arizona,4,13,0,1.0
2020-03-16,Arizona,4,18,0,5.0
2020-03-17,Arizona,4,20,0,2.0
2020-03-18,Arizona,4,28,0,8.0
2020-03-19,Arizona,4,47,0,19.0
2020-03-20,Arizona,4,70,1,23.0
2020-03-21,Arizona,4,104,1,34.0
2020-03-22,Arizona,4,153,2,49.0
2020-03-23,Arizona,4,234,2,81.0
2020-03-24,Arizona,4,326,6,92.0
2020-03-25,Arizona,4,402,6,76.0
2020-03-26,Arizona,4,508,8,106.0
2020-03-27,Arizona,4,665,15,157.0
2020-03-28,Arizona,4,773,15,108.0
2020-03-29,Arizona,4,930,18,157.0
2020-03-30,Arizona,4,1169,20,239.0
2020-03-31,Arizona,4,1298,24,129.0
2020-04-01,Arizona,4,1413,29,115.0
2020-04-02,Arizona,4,1600,35,187.0
2020-04-03,Arizona,4,1769,41,169.0
2020-04-04,Arizona,4,2019,53,250.0
2020-04-05,Arizona,4,2269,64,250.0
2020-04-06,Arizona,4,2466,67,197.0
2020-04-07,Arizona,4,2577,77,111.0
2020-04-08,Arizona,4,2726,80,149.0
2020-04-09,Arizona,4,3018,89,292.0
2020-04-10,Arizona,4,3112,97,94.0
2020-04-11,Arizona,4,3393,112,281.0
2020-04-12,Arizona,4,3539,117,146.0
2020-04-13,Arizona,4,3702,122,163.0
2020-04-14,Arizona,4,3806,131,104.0
2020-04-15,Arizona,4,3962,142,156.0
2020-04-16,Arizona,4,4234,152,272.0
2020-04-17,Arizona,4,4507,174,273.0
2020-04-18,Arizona,4,4719,181,212.0
2020-04-19,Arizona,4,4929,188,210.0
2020-04-20,Arizona,4,5064,191,135.0
2020-04-21,Arizona,4,5251,213,187.0
2020-04-22,Arizona,4,5459,236,208.0
2020-04-23,Arizona,4,5769,257,310.0
2020-04-24,Arizona,4,6045,268,276.0
2020-04-25,Arizona,4,6280,275,235.0
2020-04-26,Arizona,4,6526,277,246.0
2020-04-27,Arizona,4,6716,277,190.0
2020-04-28,Arizona,4,6948,297,232.0
2020-04-29,Arizona,4,7202,308,254.0
2020-04-30,Arizona,4,7648,320,446.0
2020-05-01,Arizona,4,7962,330,314.0
2020-05-02,Arizona,4,8364,353,402.0
2020-05-03,Arizona,4,8640,362,276.0
2020-05-04,Arizona,4,8919,362,279.0
2020-05-05,Arizona,4,9305,395,386.0
