location,date,total_cases,new_cases,total_deaths,new_deaths
Argentina,2020-02-11,0.0,0.0,0.0,0.0
Argentina,2020-02-12,0.0,0.0,0.0,0.0
Argentina,2020-02-13,0.0,0.0,0.0,0.0
Argentina,2020-02-14,0.0,0.0,0.0,0.0
Argentina,2020-02-15,0.0,0.0,0.0,0.0
Argentina,2020-02-16,0.0,0.0,0.0,0.0
Argentina,2020-02-17,0.0,0.0,0.0,0.0
Argentina,2020-02-18,0.0,0.0,0.0,0.0
Argentina,2020-02-19,0.0,0.0,0.0,0.0
Argentina,2020-02-20,0.0,0.0,0.0,0.0
Argentina,2020-02-21,0.0,0.0,0.0,0.0
Argentina,2020-02-22,0.0,0.0,0.0,0.0
Argentina,2020-02-23,0.0,0.0,0.0,0.0
Argentina,2020-02-24,0.0,0.0,0.0,0.0
Argentina,2020-02-25,0.0,0.0,0.0,0.0
Argentina,2020-02-26,0.0,0.0,0.0,0.0
Argentina,2020-02-27,0.0,0.0,0.0,0.0
Argentina,2020-02-28,0.0,0.0,0.0,0.0
Argentina,2020-02-29,0.0,0.0,0.0,0.0
Argentina,2020-03-01,0.0,0.0,0.0,0.0
Argentina,2020-03-02,0.0,0.0,0.0,0.0
Argentina,2020-03-03,0.0,0.0,0.0,0.0
Argentina,2020-03-04,1.0,1.0,0.0,0.0
Argentina,2020-03-05,0.0,0.0,0.0,0.0
Argentina,2020-03-06,2.0,1.0,0.0,0.0
Argentina,2020-03-07,8.0,6.0,0.0,0.0
Argentina,2020-03-08,9.0,1.0,1.0,1.0
Argentina,2020-03-09,12.0,3.0,1.0,0.0
Argentina,2020-03-10,0.0,0.0,0.0,0.0
Argentina,2020-03-11,19.0,7.0,1.0,0.0
Argentina,2020-03-12,0.0,0.0,0.0,0.0
Argentina,2020-03-13,31.0,12.0,1.0,0.0
Argentina,2020-03-14,34.0,3.0,2.0,1.0
Argentina,2020-03-15,45.0,11.0,2.0,0.0
Argentina,2020-03-16,56.0,11.0,2.0,0.0
Argentina,2020-03-17,65.0,9.0,2.0,0.0
Argentina,2020-03-18,79.0,14.0,2.0,0.0
Argentina,2020-03-19,97.0,18.0,2.0,0.0
Argentina,2020-03-20,128.0,31.0,3.0,1.0
Argentina,2020-03-21,158.0,30.0,3.0,0.0
Argentina,2020-03-22,225.0,67.0,4.0,1.0
Argentina,2020-03-23,266.0,41.0,4.0,0.0
Argentina,2020-03-24,301.0,35.0,4.0,0.0
Argentina,2020-03-25,387.0,86.0,6.0,2.0
Argentina,2020-03-26,502.0,115.0,8.0,2.0
Argentina,2020-03-27,589.0,87.0,12.0,4.0
Argentina,2020-03-28,690.0,101.0,17.0,5.0
Argentina,2020-03-29,745.0,55.0,19.0,2.0
Argentina,2020-03-30,820.0,75.0,20.0,1.0
Argentina,2020-03-31,966.0,146.0,24.0,4.0
Argentina,2020-04-01,966.0,0.0,24.0,0.0
Argentina,2020-04-02,1133.0,167.0,31.0,7.0
Argentina,2020-04-03,1133.0,0.0,34.0,3.0
Argentina,2020-04-04,1265.0,132.0,37.0,3.0
Argentina,2020-04-05,1451.0,186.0,43.0,6.0
Argentina,2020-04-06,1554.0,103.0,46.0,3.0
Argentina,2020-04-07,1628.0,74.0,53.0,7.0
Argentina,2020-04-08,1715.0,87.0,60.0,7.0
Argentina,2020-04-09,1795.0,80.0,65.0,5.0
Argentina,2020-04-10,1894.0,99.0,79.0,14.0
Argentina,2020-04-11,1975.0,81.0,82.0,3.0
Argentina,2020-04-12,2137.0,162.0,89.0,7.0
Argentina,2020-04-13,2203.0,66.0,95.0,6.0
Argentina,2020-04-14,2272.0,69.0,98.0,3.0
Argentina,2020-04-15,2432.0,160.0,105.0,7.0
Argentina,2020-04-16,2432.0,0.0,109.0,4.0
Argentina,2020-04-17,2560.0,128.0,115.0,6.0
Argentina,2020-04-18,2658.0,98.0,122.0,7.0
Argentina,2020-04-19,2828.0,170.0,132.0,10.0
